Job Title,Rating,Average Salary,State
data scientist,3.5,146.0,NY
data scientist,4.5,146.0,NY
analyst,3.4,146.0,NJ
data scientist,3.4,146.0,NY
data scientist,2.9,146.0,NY
researcher,4.4,146.0,NY
other,5.0,146.0,NY
researcher,4.8,146.0,NY
data scientist,3.9,146.0,NY
data scientist,4.4,146.0,NY
data scientist,4.3,146.0,NY
data scientist,3.9,146.0,NY
data scientist,4.4,146.0,NY
data scientist,3.0,146.0,NY
data scientist,3.6,146.0,NY
data scientist,3.3,146.0,NY
data scientist,3.6,146.0,NY
data scientist,3.9,146.0,NY
data scientist,4.0,146.0,NY
data scientist,3.4,146.0,NY
researcher,4.1,146.0,NY
data engineer,3.4,146.0,NY
data scientist,4.4,146.0,NY
data scientist,3.8,146.0,NY
data scientist,4.1,146.0,NY
data scientist,3.3,146.0,NY
data scientist,5.0,146.0,NY
data scientist,3.3,146.0,NY
data scientist,4.3,130.0,NY
data scientist,3.7,130.0,NY
data scientist,4.3,130.0,NY
data scientist,3.0,130.0,NY
data scientist,3.7,130.0,NY
analyst,3.4,130.0,NY
data scientist,3.5,130.0,NY
data scientist,4.2,130.0,NY
data scientist,3.5,130.0,NY
data scientist,4.6,130.0,NY
data scientist,4.3,130.0,NY
analyst,4.1,130.0,NY
other,4.3,130.0,NY
data scientist,4.5,130.0,NY
data scientist,3.9,130.0,NY
data scientist,3.4,130.0,NY
data scientist,4.7,130.0,NY
analyst,3.6,130.0,NY
data scientist,3.5,130.0,NY
analyst,3.9,130.0,NY
data scientist,3.9,130.0,NY
data scientist,3.2,130.0,NY
data scientist,3.3,130.0,NY
data scientist,4.2,130.0,NY
data scientist,3.6,130.0,NY
data scientist,3.9,130.0,NY
data scientist,3.9,130.0,NY
data scientist,3.8,133.0,NY
data scientist,5.0,133.0,NY
data scientist,3.4,133.0,NY
data scientist,3.9,133.0,NJ
data scientist,4.4,133.0,NY
data scientist,3.0,133.0,NY
manager,4.0,133.0,NY
data scientist,3.9,133.0,NY
data scientist,3.6,133.0,NY
data scientist,3.9,133.0,NY
data scientist,2.8,133.0,NY
data scientist,4.1,133.0,NY
data engineer,4.4,99.0,NY
data scientist,3.3,99.0,NJ
data scientist,2.9,99.0,NY
data scientist,4.0,99.0,NY
data scientist,4.4,99.0,NY
data scientist,3.8,99.0,NY
data scientist,3.8,99.0,NY
data scientist,2.7,99.0,NY
data scientist,4.3,99.0,NY
data scientist,4.5,99.0,NY
data scientist,3.9,99.0,NY
data scientist,3.3,99.0,NY
other,3.8,99.0,NY
data scientist,3.6,99.0,NY
data scientist,3.3,99.0,NY
analyst,4.1,99.0,NY
data scientist,2.8,99.0,NY
data scientist,3.4,99.0,NY
data scientist,3.4,99.0,NY
data scientist,2.9,99.0,NY
machine learning engineer,4.8,99.0,NY
data scientist,3.9,99.0,NY
data scientist,3.8,99.0,NY
data scientist,5.0,99.0,NY
data scientist,4.2,99.0,NY
data engineer,4.7,111.5,NY
data scientist,2.8,111.5,NY
data scientist,4.2,111.5,NY
analyst,4.0,111.5,NY
data scientist,4.9,111.5,NY
data scientist,4.0,111.5,NY
data scientist,3.4,111.5,NY
data scientist,2.7,111.5,NY
data scientist,3.5,111.5,NY
data scientist,3.4,111.5,NY
data scientist,3.3,111.5,NY
data scientist,2.5,111.5,NY
other,4.4,111.5,NY
data scientist,4.4,111.5,NY
data scientist,4.1,111.5,NY
data scientist,4.8,111.5,NY
data scientist,3.6,111.5,NY
data scientist,3.8,111.5,NY
data scientist,5.0,111.5,NY
data scientist,3.9,111.5,NY
data scientist,4.5,111.5,NY
analyst,4.4,111.5,NY
data scientist,1.0,111.5,NY
data scientist,4.0,111.5,NY
data scientist,3.6,111.5,NY
data scientist,3.7,111.5,NJ
data scientist,3.4,169.5,NY
data engineer,4.7,169.5,NY
data scientist,3.8,169.5,NY
data scientist,4.9,169.5,NY
data scientist,4.2,169.5,NY
data scientist,3.4,169.5,NJ
data scientist,3.9,169.5,NY
data scientist,4.4,169.5,NY
other,3.9,169.5,NY
data scientist,4.8,169.5,NJ
analyst,5.0,169.5,NY
data scientist,4.0,169.5,NY
data scientist,5.0,169.5,NY
data scientist,3.9,169.5,NY
data scientist,3.8,169.5,NY
data scientist,3.3,169.5,NY
data scientist,2.8,169.5,NY
data scientist,4.0,169.5,NY
data scientist,3.6,169.5,NY
data scientist,3.7,169.5,NY
data scientist,3.9,169.5,NY
data scientist,4.2,169.5,NY
data scientist,1.9,169.5,NY
data scientist,3.5,169.5,NY
analyst,3.8,205.0,NY
analyst,4.4,205.0,NY
analyst,5.0,205.0,NY
analyst,3.4,205.0,NY
data scientist,3.1,205.0,NY
data scientist,3.4,205.0,NY
analyst,3.5,205.0,NY
data scientist,4.0,205.0,NY
data scientist,3.4,205.0,NY
data scientist,3.6,205.0,NY
machine learning engineer,3.0,205.0,NY
data scientist,5.0,205.0,NY
data scientist,4.1,205.0,NY
data scientist,4.5,205.0,NY
data engineer,4.2,205.0,NY
data scientist,5.0,205.0,NY
data scientist,3.8,205.0,NY
data scientist,4.1,205.0,NY
data scientist,3.6,205.0,NY
analyst,3.1,205.0,NY
data scientist,1.0,205.0,NY
data scientist,3.4,133.0,NY
data scientist,3.6,133.0,NY
data scientist,4.6,133.0,NY
data scientist,4.0,133.0,NY
other,4.7,133.0,NY
data engineer,4.4,133.0,NY
data scientist,4.0,133.0,NY
analyst,3.6,133.0,NY
data scientist,4.1,133.0,NY
machine learning engineer,3.9,133.0,NY
data scientist,1.6,133.0,NY
data scientist,3.5,133.0,NY
data scientist,4.0,133.0,NY
data scientist,4.0,133.0,NY
analyst,3.5,133.0,NY
data scientist,5.0,133.0,NY
data scientist,5.0,133.0,NY
data scientist,4.0,133.0,NY
data scientist,3.5,133.0,NY
data engineer,3.4,133.0,NY
data scientist,3.6,133.0,NJ
other,3.2,133.0,NY
data engineer,4.7,133.0,NY
data scientist,5.0,133.0,NY
other,3.9,133.0,NY
data scientist,4.2,133.0,NY
data engineer,3.7,133.0,NY
data scientist,3.1,133.0,NY
data scientist,3.8,133.0,NY
other,3.9,134.0,NY
other,4.1,134.0,NY
data scientist,3.8,134.0,NY
machine learning engineer,3.8,134.0,NY
data scientist,3.7,134.0,NY
data scientist,4.4,134.0,NY
data scientist,3.9,134.0,NY
data scientist,5.0,134.0,NY
data scientist,3.9,134.0,NY
machine learning engineer,3.6,134.0,NY
researcher,4.2,134.0,NY
data scientist,3.9,134.0,NJ
data scientist,3.7,134.0,NY
data scientist,4.3,134.0,NY
data scientist,3.5,134.0,NY
data scientist,4.0,134.0,NY
machine learning engineer,3.0,134.0,NY
data scientist,3.1,152.0,NY
analyst,4.0,152.0,NY
researcher,5.0,152.0,NY
analyst,3.5,152.0,NY
analyst,3.6,152.0,NY
data scientist,4.4,152.0,NY
data scientist,2.6,152.0,NJ
data scientist,3.6,152.0,NJ
machine learning engineer,4.6,152.0,NY
data scientist,4.1,152.0,NY
data scientist,3.3,152.0,NY
machine learning engineer,3.5,124.5,NY
data engineer,4.1,124.5,NY
data scientist,3.2,124.5,NY
analyst,4.0,124.5,NY
director,4.0,124.5,NY
analyst,3.6,124.5,NJ
data scientist,3.8,124.5,NY
data engineer,3.9,124.5,NY
data engineer,4.4,124.5,NY
other,3.6,124.5,NY
machine learning engineer,3.9,124.5,NY
data scientist,3.7,124.5,NY
data scientist,4.1,124.5,NY
analyst,4.4,124.5,NY
data scientist,3.7,124.5,NY
data scientist,2.5,124.5,NY
analyst,4.9,124.5,NY
data scientist,3.6,111.5,NY
data scientist,3.6,111.5,NY
data scientist,3.3,111.5,NY
analyst,3.6,111.5,NY
researcher,5.0,111.5,NY
data scientist,3.8,111.5,NY
analyst,4.8,111.5,NY
other,4.1,111.5,NY
analyst,4.4,111.5,NY
analyst,3.3,111.5,NY
machine learning engineer,3.7,111.5,NY
analyst,4.1,111.5,NY
other,4.5,111.5,NY
data scientist,3.6,111.5,NJ
data scientist,3.2,111.5,NY
data scientist,3.8,111.5,NY
machine learning engineer,4.1,111.5,NY
other,4.8,111.5,NY
data engineer,3.9,111.5,NY
data engineer,3.6,111.5,NY
researcher,3.9,111.5,NY
other,4.4,111.5,NY
researcher,3.9,111.5,NY
analyst,4.8,111.5,NY
data scientist,3.9,107.5,NY
data scientist,3.6,107.5,NJ
analyst,5.0,107.5,NY
manager,4.9,107.5,NY
data scientist,1.0,107.5,NY
data scientist,3.8,107.5,NY
analyst,3.4,107.5,NY
analyst,3.2,107.5,NY
data scientist,4.0,107.5,NJ
data scientist,3.9,107.5,NY
data engineer,4.9,107.5,NY
data scientist,3.4,107.5,NY
data scientist,4.8,107.5,NY
data engineer,4.4,107.5,NY
machine learning engineer,4.7,107.5,NJ
data scientist,2.8,107.5,NY
data scientist,3.7,107.5,NY
data scientist,3.7,107.5,NY
analyst,5.0,107.5,NY
data scientist,3.7,107.5,NJ
data scientist,4.4,107.5,NY
data scientist,3.4,107.5,NY
data scientist,3.7,107.5,NY
